abv,ibu,id,name,style,,brewery_id,ounces
0.068,,2493,I.P. Eh!,American IPA,,1,12
0.05,,2492,Schoolhouse Honey,American Amber / Red Ale,,1,12
0.055,,2491,10 Degrees of Separation,English Brown Ale,,1,12
0.035,11,2545,Passion Fruit Prussia,Berliner Weissbier,,1,12
0.045,18,2544,Send Help,American Blonde Ale,,1,12
0.055,,2324,Cast Iron Oatmeal Brown,American Brown Ale,,1,12
0.06,,2288,Reprise Centennial Red,American Amber / Red Ale,,1,12
0.055,,2287,Alter Ego,American Black Ale,,1,12
0.065,,2286,Divided Sky,American IPA,,1,12
0.065,,2285,Resurrected,American IPA,,1,12
0.05,28,1870,Contact High,American Pale Wheat Ale,,1,12
0.072,,2543,Todd the Axe Man,American IPA,,1,16
0.057,,2409,Doomtree,Extra Special / Strong Bitter (ESB),,1,16
0.099,85,1739,BLAKKR,American Black Ale,,1,16
0.073,69,1112,Overrated! West Coast Style IPA,American IPA,,1,16
0.075,90,329,WET,American IPA,,1,16
0.04,37,19,Bitter Brewer,English Bitter,,1,16
0.055,34,18,SurlyFest,Rye Beer,,1,16
0.051,45,17,Coffee Bender,American Brown Ale,,1,16
0.051,45,16,Bender,American Brown Ale,,1,16
0.097,120,15,Abrasive Ale,American Double / Imperial IPA,,1,16
0.051,20,14,Hell,Keller Bier / Zwickel Bier,,1,16
0.067,33,13,CynicAle,Saison / Farmhouse Ale,,1,16
0.062,99,12,Furious,American IPA,,1,16
0.082,68,2540,Citra Ass Down,American IPA,,1,16
0.05,20,2539,The Brown Note,American Brown Ale,,1,16
